157,92,302,223,1.000000
158,92,303,223,0.997965
159,92,304,223,0.994752
160,92,305,223,0.961549
161,92,306,223,0.903897
161,92,306,223,0.861973
161,92,306,223,0.861790
161,92,306,223,0.873043
164,92,309,223,0.845496
173,91,317,221,0.756261
189,90,332,219,0.607236
204,89,348,219,0.543001
216,88,361,219,0.503965
225,88,371,220,0.464323
228,88,374,220,0.457033
181,163,251,226,0.651347
184,166,248,223,0.575331
172,86,331,230,0.616332
160,88,316,229,0.673635
147,90,300,228,0.659830
132,92,284,229,0.678005
118,97,267,231,0.639326
111,99,259,232,0.622666
110,100,257,232,0.650552
110,100,257,232,0.686935
112,99,259,231,0.696469
117,96,263,227,0.615118
133,100,262,216,0.445404
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
161,66,294,186,0.681942
161,71,291,189,0.707994
160,79,287,194,0.709632
162,85,286,197,0.771826
163,92,284,201,0.820009
164,96,285,205,0.803012
164,99,289,211,0.772757
164,101,294,218,0.817753
165,100,297,219,0.841466
166,96,299,216,0.874636
169,91,301,210,0.854019
175,84,307,203,0.724537
185,74,319,195,0.702877
191,66,330,192,0.615633
202,57,346,188,0.598435
211,53,361,190,0.571713
217,52,372,194,0.551219
213,54,368,196,0.564966
205,57,357,196,0.617394
190,62,337,196,0.671039
180,67,323,197,0.715137
164,75,298,196,0.643139
149,77,285,200,0.685590
139,81,272,201,0.635640
133,81,269,204,0.622788
133,81,273,207,0.600589
135,80,278,209,0.611422
140,78,285,209,0.619330
138,75,287,209,0.599188
152,72,286,193,0.643081
170,66,315,197,0.594186
181,64,332,200,0.744678
195,59,355,203,0.647851
207,57,370,204,0.577595
224,53,393,206,0.586014
240,51,411,206,0.545524
237,39,436,219,0.402193
